a 一 一个 每
aback 向后
equipment 设备
equipment 装备
equitable 合理
equitably 合理地
equity 公平
equivalent 等同
equivocal 多义
equivocality 多义性
era 时代
era 时期
era 纪元
eradiate 辐射
eradiation 辐射
eradicate 根除
erasable 可擦掉
erase 抹掉
eraser 消磁器
erbium 铒
erect 竖立
erect 矗立
erectile 直立
erection 安装
erection 建设
erective 直立
erector 建设者
erector 安装工人
erfurt 埃尔富特
ergograph 测力器
ergometer 测力计
eritrea 厄立特里亚
erode 腐蚀
erodent 腐蚀
erodent 腐蚀药
erosion 腐蚀
erotic 色情
erotic 好色之徒
erp 有效发射功率
err 犯错
err 做错
err 弄错
erroneous 错误
error 错误
errorless 正确
erudite 有学问的人
erudite 有学问
erudition 博学
eruditional 博学
erupt 爆发
eruption 爆发
esc 切换键
esc 退出键
esc 转义字符
escalade 活动人行道
escalade 攀登
escalate 升级
escalation 升级
escalator 自动楼梯
escalator 上下调整
escapable 可以避免
escapade 恶作剧
escape 避免
escape 逃跑
escapee 逃亡者
escapement 擒纵装置
escapeway 逃路
escapeway 太平门
escapist 逃避现实的人
escapist 逃避现实
escapology 逃脱法
eschew 避开
escort 护卫
escort 护卫队
esoteric 深奥
especial 特殊
especially 尤其
esperantist 世界语
esperantist 世界语学者
esperanto 世界语
espionage 间谍活动
espousal 婚礼
espousal 拥护
espouse 拥护
espy 看到
essay 论文
essen 埃森
essence 本质
essential 十分重要
essential 要点
essentiality 本质
essentially 根本上
essentials 基本原则
establish 建立
estate 财产
estated 有财产
esteem 尊重
esthesia 感觉
esthete 美学家
esthetic 美学
esthetics 美学
estimable 值得尊重
estimate 估计
estimate 评估
estimation 评价
estimator 估计者
estonia 爱沙尼亚
estrange 疏远
etc 等等
etc 及其他
etch 蚀刻
eternal 永久
eternity 永恒
ethernet 以太网
ethical 伦理
ethics 伦理学
ethiopia 埃塞俄比亚
ethiopian 埃塞俄比亚人
ethiopian 埃塞俄比亚
ethnic 少数民族
etiquette 礼节
eton 伊顿
eugenic 优生学
eugenics 优生学
eulogize 颂扬
eulogy 颂词
eunuch 宦官
euphemistic 委婉
euphonious 悦耳
euphrates 幼发拉底河
eurafrica 欧非共同体
eurasia 欧亚大陆
eurogroup 欧洲集团
europe 欧洲
european 欧洲
european 欧洲人
europen 欧洲
europen 欧洲人
europium 铕
evacuate 疏散
evade 逃避
evaluate 评价
evaluation 评价
evaluation 赋值
evaluator 评估器
evaporate 蒸发
evasion 逃避
eve 前夕
eve 前日
even 即使是
even 甚至
evening 晚上
event 事件
eventual 最后
eventually 最终
ever 曾经
ever 以前任何时候
everest 珠穆朗玛峰
evergreen 常绿植物
evergreen 常绿
everlasting 永存
evermore 始终
every 所有的
every 每
everybody 每个人
everyday 日常
everyone 每个人
everything 每件事
everyway 全然
everywhere 到处
evict 逐出
evidence 证明
evident 明显
evil 邪恶
evince 表现
evitable 可以避免
evoke 激起
evolute 进化
evolution 进化
evolutionary 进化
evolutionism 进化论
evolutionist 进化论
evolutionist 进化论者
evolve 进化
evolvement 进化
exacerbate 恶化
exact 确切
exactly 确切地
exaggerate 夸张
exalt 晋升
examinant 主考人
examination 检查
examine 检查
examiner 检查员
example 例子
exasperate 激怒
excavate 挖掘
exceed 超过
exceedingly 特别
excellence 优秀
excellency 阁下
excellent 极好
except 除非
except 除
exception 例外情况
exceptional 例外
excerpt 摘录
excess 超越
excessive 额外
exchange 交换
exchequer 国库
excide 切除
excise 消费税
excise 去除
excision 删除
excision 切除
excite 激动
excited 兴奋
exciting 令人激动
exclaim 惊呼
exclude 排除
exclusion 拒绝
exclusive 专有
exclusive 专有权
exclusively 专门
excoriate 批判
excrete 排泄
exculpate 开脱
excursion 远足
excursus 附注
excuse 原谅
excuse 借口
execrate 憎恶
executable 可执行
execute 执行
execution 实施
executive 实施
executor 执行人
exemplify 以例说明
exempt 免除
exercise 演习
exercise 练习
exert 发挥
exertion 发挥
exhale 呼出
exhaust 耗尽
exhaust 废物
exhaustion 用尽
exhaustion 虚脱
exhaustive 彻底
exhibit 展示
exhibit 展品
exhibition 展览
exhort 劝告
exhort 规劝
exigence 危急
exigency 危急
exigent 紧急
exile 流放
exist 存在
existence 存在
existing 现有的
exit 退出
exit 出口
exit 离去
exotic 外来
exoticism 异国情调
expand 膨胀
expanse 辽阔
expansion 扩展
expansive 扩展
expatiate 详述
expect 期待
expectant 预期
expectation 期望
expedient 有利
expedient 权宜之计
expedite 加速
expedition 远征
expel 驱逐
expend 花费
expendable 可牺牲
expenditure 支出
expense 耗费
expensive 昂贵
experience 经验
experience 经历
experienced 经历
experienced 富有经验
experiment 实验
experimental 实验性
expert 熟练
expert 专家
expertise 专长
expiration 期满
expire 届满
explain 解释
explanation 解释
explanatory 解释性
explicable 可解释
explicate 说明
explication 说明
explicit 清晰明确
explicitly 明确地
explode 爆炸
exploit 使用
exploitation 扩张战果
exploitation 开发
explore 探讨
explosion 爆炸
explosive 暴露
explosive 炸药
export 出口
export 出口商品
expose 揭露
exposition 说明
expostulate 告戒
exposure 暴露
expound 说明
express 快车
express 表达
expression 表达
expressive 表达
expropriate 征用
expulsion 驱逐
expunge 擦去
expurgate 删除
exquisite 精巧
extant 现存
extemporary 即席
extend 扩展
extension 扩展
extensive 广泛
extensively 广泛地
extent 程度
extenuate 掩饰
exterior 外部
exterminate 消除
external 外部
extinct 消失
extinction 灭绝
extinguish 扑灭
extinguisher 灭火器
extirpate 根除
extol 赞美
extort 强取勒索
extra 额外
extra 特别
extract 提取
extract 提取物
extract 摘录
extraction 抽取
extradite 引渡
extraneous 无关
extrapolate 推知
extravagant 过分
extreme 极端
extremely 极端
extremepoint 极点
extricate 撤出
extroversion 外向
extrovert 外向
extrude 逐出
exuberant 丰富
exuberate 充满
exude 发散
exult 欣喜若狂
exultance 狂喜
exultant 狂喜
exultation 狂喜
eyas 雏鹰
eye 眼睛
eye 盯住
eye 视而不见
eyeball 眼球
eyebrow 眉毛
eyeglass 镜片
eyelash 睫毛
eyewash 眼药水
eyewater 眼药
eyewinker 睫毛
eyewitness 目击者
fabric 结构
fabricate 虚构
fabrication 装配工
fabricator 捏造者
fabulous 神话般
facade 正面
face 脸
face 面容
face 面对
face 面临
face 表面
faceplate 面板
facer 化妆师
facial 面部
facilitate 有利于
facility 设施
facility 方便
facing 面对
fact 事实
faction 派系
factor 因素
factory 工厂
factual 事实性
facture 制作
faculty 才能
fade 衰落
fahrenheit 华氏
fail 失败
failure 失败
faint 微弱
fair 定期集市
fairly 相当
fairness 顺利性
fairy 仙女
fairyland 仙境
faith 信心
faithful 忠实
faithless 背信弃义
fake 伪造
fake 伪品
fall 变得
fall 落下
fallacious 荒谬
fallacy 谬误
false 错误
falsify 伪造
falter 慢慢而行
fame 名誉
famed 著名
familiar 熟悉
familiarity 熟悉
familiarize 熟悉
family 系列
family 家庭
famine 饥荒
famish 挨饿
famished 挨饿
famous 著名
fan 风扇
fan 迷
fan 狂热者
fan 煽动
fan 刺激
fanatic 狂热者
fanatical 狂热
fanaticism 狂热
fanciful 富于幻想
fancy 想象力
fancy 奇特
fancy 想象
fantastic 荒诞
fantasy 空想
fantasy 幻想
far 遥远
far 远
far 远的
faraway 遥远
farce 闹剧
fare 过活
fare 车费
farewell 告别
farfetched 牵强
farm 农场
farmer 农民
farmost 最远
farreaching 深远
farseeing 深谋远虑
farsighted 有远见
fascinate 迷恋
fascinating 着魔
fascism 法西斯
fascist 法西斯分子
fashion 方式
fashionable 流行
fast 快速
fast 快
fasten 固定
fastidious 苛求
fastmoving 快速机动
fastness 脂肪
fat 肥胖
fat 脂肪
fatal 致命
fatalism 宿命论
fatality 灾祸
fate 命运
fateful 致命
father 父亲
fathom 英寻
fatigue 劳累
fatigue 疲劳
fatten 长肥
faucet 龙头
fault 失误
faulty 失误
favorable 有利
favour 喜爱
favour 赞成
favourite 特别喜爱
favouritism 偏袒
fawn 讨好
fax 传真
faze 惊扰
fear 惧怕
fear 担心
fearful 可怕
fearless 无畏
fearsome 可怕
feasibility 可行性
feasible 切实可行
feast 宴会
feat 功绩
feather 羽毛
feature 特性
featured 着重描写
feba 战斗地域前沿
february 二月
feckless 不中用
federal 联邦
federalism 联邦制
federalist 联邦制拥护者
federation 联邦
fee 费用
fee 小费
fee 所有权
feeble 虚弱
feed 进给
feed 喂养
feedback 反馈
feel 感到
feel 感觉
feel 以为
feeling 感觉
feelings 感情
feet 英尺
feign 假装
feign 杜撰
feint 佯攻
feint 假装
felicitate 祝贺
felicitous 适当
female 女性
feminine 女性
feminism 女权运动
fence 栅栏
fend 抵挡
ferment 酝酿
fermium 镄
ferocious 凶恶
ferocity 凶恶
ferry 渡轮
ferry 运送
fertile 肥沃
fertilize 施肥
fervent 炽热
fester 溃烂
festival 节日
fetch 取来
feudal 封建
fever 发烧
fever 发热
few 极少
few 很少
few 少数的
few 几
fiberboard 纤维板
fibre 纤维
fibreboard 纤维板
fibreoptic 纤维光学
fibrous 纤维状
fiction 小说
fictious 虚构
fidelity 逼真性
fidget 烦燥
field 领域
field 战场
field 田野
fierce 凶猛
fiery 火热
fifteen 十五
fifteenth 第十五
fifth 第五
fiftieth 第五十
fifty 五十
fight 战斗
fight 打
fighter 战士
figure 图
figure 演算出
figure 想象
fiji 斐济
fijian 斐济
fijian 斐济人
filament 细丝
file 文件
fill 装满
film 胶卷
film 拍成电影
film 拍电影
filter 过滤
filter 过滤器
filthy 污垢
filtrate 过滤
filtrate 滤液
filtration 过滤
final 决战
final 最后
finalize 定案
finally 最后
finance 财政
financial 财政
find 发现
find 找
find 感觉到
find 判定
finder 探测器
findings 研究结果
fine 好
fine 好的
fine 晴朗的
fine 健康的
fine 罚款
finesse 手腕
finesse 巧战
finger 手指
finish 完成
finish 结束
finish 结尾
finite 有限
finland 芬兰
finn 芬兰人
finnish 芬兰
fire 燃烧
fire 火
fire 炮火
firearm 火器
fireball 火球
fireboat 消防艇
firebreak 防火线
firebrick 耐火砖
firefly 萤火虫
fireman 消防队员
firepower 火力
fireproof 防火
firm 牢固
firm 商行
firmly 坚定地
first 首先
first 一
first 前
first 第一
first 优先
first 首批
fiscal 财政
fish 钓
fish 钓鱼
fish 鱼
fisherman 渔夫
fist 火力支援战斗队
fist 拳头
fist 手
fit 适宜
fit 适合
fit 对的
fitful 间歇
fitment 设备
fitness 适应性
fitting 适合
five 五
fivefold 五倍
fix 准备
fix 修理
fix 使固定
fixate 凝视
fixedpoint 定点
fixture 固定装置
fizz 发嘶嘶声
flag 旗
flag 标记
flagitious 罪大恶极
flagrant 罪恶昭彰
flair 鉴别力
flak 高射炮火
flake 薄片
flam 诡计
flam 欺骗
flame 火焰
flanders 佛兰德
flank 翼侧包围
flank 翼侧
flanker 侧堡
flap 拍打
flapdoor 吊门
flare 闪耀
flare 闪光
flash 闪烁
flash 闪出
flash 闪光
flashlight 电筒
flashlighter 电筒
flashy 浮华
flat 平
flat 套间
flatboat 平底船
flatcar 平板车
flatfish 比目鱼
flats 公寓
flatten 平坦
flatter 奉承
flatterer 奉承者
flattery 捧场
flaunt 眩耀
flavor 味道
flavor 调味
flavour 味道
flavour 调味
flaw 瑕疵
fleck 饰以斑点
fleck 斑点
flee 逃跑
flee 逃离
fleet 舰队
flesh 肌肉
flexibility 灵活性
flexible 灵活
flick 轻打
flicker 闪烁
flight 飞行
flinch 退缩不前
fling 投掷
flirt 调情
flit 轻快飞过
float 飘浮
float 创办
floatation 创办
floating 创办
floating 飘浮
floatplane 水上飞机
flock 群
flock 聚结
flog 鞭达
flood 水灾
flood 淹没
floodmark 高潮线
floodplain 泛滥平原
floodwater 洪水
floodway 分洪河道
floor 地板
floor 难倒
flophouse 廉价住所
flopover 上下跳动
florence 佛罗伦萨
florid 华丽
florida 佛罗里达
florist 种花人
flounce 急速走动
flounder 不知所指
flour 面粉
flourish 繁荣
flout 轻视
flow 流动
flow 流
flower 花
flu 流感
fluency 流利
fluent 流利
fluently 流利地
fluid 流动
fluorine 氖
flurry 慌张
fluster 慌乱
flutter 颤动
fly 飞行
fly 飞翔
fly 飞
foam 起泡沫
foam 泡沫
focal 焦点
focus 集中
focus 焦点
foe 敌人
foe 反对者
fog 雾
fog 迷惑
foggy 浓雾迷蒙
foil 挫败
foist 蒙骗
fold 折叠
foldout 折页
folk 民间
folk 人们
folklore 民间传说
folknik 民歌爱好者
folktale 民间故事
folkway 社会习俗
follow 遵循
follow 跟随
following 下列
following 跟随
folly 荒唐
foment 热敷
fomentation 煽动
fomenter 煽动者
fond 喜爱
fondle 抚弄
fondly 天真
font 字模
food 食品
foodless 缺乏食物
foodstuff 食物
fool 愚弄
fool 笨人
foolish 愚笨
foot 英尺
foot 脚
football 足球
footing 状况
footprint 脚印
footstone 基石
for 为
for 因为
for 至于
for 对
for 由于
forage 草料
foray 袭击
forbear 抑制
forbear 无须
forbearance 忍耐
forbearing 宽容
forbid 禁止
force 迫使
force 力量
forceful 强有力
forceland 强迫降落
forcelanding 强迫降落
forceless 无力
forcible 强行
fore 先前
fore 前部
fore 在前面
forearm 前臂
forearm 预有准备
forebode 预示
foreboding 先兆
forebody 前半部
forecabin 前部船舱
forecast 预报
foredoom 预先注定
forefathers 祖先
forefinger 食指
forefront 前沿
forehead 前额
foreign 外国
foreigner 外国人
foreignize 外国化
foreknow 预知
forelock 前发
foremost 最初
forenoon 午前
foresee 预见
foreseeable 可预见到
foreshadow 预示
foresight 远见
forest 森林
forestall 先发制人
forestation 造林
forester 林务员
forestry 林业
foretaste 预示
foretell 预言
foretell 预测
forethought 预谋
foretime 过去
foretoken 预示
forever 永远
forewarning 预警
foreword 前言
forfeit 丧失
forfeit 处罚
forfeitable 可没收
forfeiter 丧失者
forfeiture 没收物
forgather 相遇
forge 铸造
forge 伪造
forgery 伪造
forget 忘记
forgetful 健忘
forgetive 富有想象力
forgettable 易被忘记
forgetter 健忘者
forgivable 可宽恕
forgive 宽恕
forgiveness 饶恕
forgo 放弃
fork 叉
forlorn 被遗弃
form 形成
form 方式
formal 正式
formalism 形式主义
formalist 形式主义
formalist 形式主义者
formalistic 形式主义
formality 拘泥形式
formalize 成为正式
format 格式
formation 形成
formation 编队
formative 格式化
formatted 格式
formatting 格式安排
former 以前
former 前者
formidable 难以克服
formula 公式
formulate 阐明
formulation 表达
formulism 公式主义
formulist 公式主义者
formulistic 公式主义
formulize 阐述
forsake 遗弃
forsooth 的确
forswear 幸运
fort 堡垒
forte 长处
forth 向前
forthcoming 即将来临
forthright 坦率
fortieth 第四十
fortifiable 宜于设防
fortify 加强防卫
fortitude 坚韧
fortnight 两周
fortress 要塞
fortuitous 偶然
fortunate 幸运
fortunately 幸运地
fortune 命运
forty 四十
forum 论坛
forward 前方
forward 向前
forwarning 预先警告
foshan 佛山
fossil 成为古董
fossilize 僵化
foster 培养
foundation 基础
founded 建立
founder 创立人
founder 沉没
founding 建立
foundling 弃儿
foundry 铸造厂
fountain 泉源
fountainhead 根源
four 四
fourteen 十四
fourteenth 第十四
fourth 第四
fowl 家禽
fox 狐狸
fox 狡滑的人
foxy 狡猾
fraction 片断
fracture 骨折
fragile 易破碎
fragment 片段
fragmentary 支离破碎
frago 个别命令
frame 框架
framework 框架
franc 法郎
france 法国
francium 钫
frank 坦率
frankfort 法兰克福
frantic 狂热
fraternal 兄弟般
fratricide 自相残杀
fraud 欺骗
fraudulence 欺诈
fraudulent 欺骗性
fraught 充满
free 自由
free 释放
freedom 自由
freely 自由地
freeman 自由民
freespoken 直言
freetown 弗里敦
freeze 冻结
freight 货物
freightage 货运
french 法国人
french 法语
french 法国
frequency 频率
frequent 频繁
frequently 经常地
fresh 新
freshman 新生
freshness 新鲜
friction 摩擦
frictional 摩擦
friday 星期五
friend 朋友
friendless 没有朋友
friendly 友好
friendship 友谊
fright 恐惧
frighten 恐惧
frightful 恐惧
frigid 严酷
frill 装饰
frog 青蛙
frogman 蛙人
from 从
from 来自
from 根据
front 正面
frontage 正面
frontal 前沿
frontier 边疆
frontline 前沿
frost 结霜
frost 霜
frosted 结霜
frostiness 严寒
frostless 无霜
frosty 多霜
froward 不易控制
frown 皱眉
fructify 富有成果
frugal 节俭
fruit 成果
fruit 果实
fruitage 果实
fruitful 富有成效
fruitless 不结果实
fruitlessly 无效地
frumpy 老土的
frunze 伏龙芝
frustrate 阻止
frustration 挫折
fscc 火力支援中心
fscoord 火力支援协调官
fuel 加燃料
fuel 燃料
fuji 富士山
fujian 福建
fulfil 完成
full 充足
fullgrown 成熟
fulltime 专职
fully 充分
fumble 摸索
fun 乐趣
fun 玩笑
funafuti 富纳富堤
funchal 丰沙尔
function 功能
function 起作用
functional 功能
functional analysis 泛函分析
fund 资金
fund 投资
fundamental 基本
fundamental 基本原则
funding 投资
funeral 葬礼
fungus 真菌
fungus 霉菌
funnel 漏斗
funny 滑稽可笑
fur 软毛
fur 毛皮制品
furious 狂暴
furnace 炉子
furnish 供给
furniture 家具
further 进一步
furtherance 促进
furthermore 进而
furthest 最远
furthest 最大限度
fury 暴怒
fuse 保险丝
fuse 熔合
fuselage 机身
fushun 抚顺
fuss 大惊小怪
fussy 大惊小怪
futile 无益
future 未来
fuyang 阜阳
fuzhou 福州
gabardeen 华达呢
gabon 加蓬
gabonese 加蓬人
gadolinium 钆
gaiety 欢乐
gaily 快活地
gain 赢得
gain 获得
gainable 可得到
gainer 胜利者
gainful 有利益
gainfully 有利益地
gainfulness 唯利是图
gainings 收入
gainless 无利可图
gainly 优美
gainsay 否认
gait 步态
gakwer 伸长脖子呆看的人
galactic 乳汁
gallant 豪侠
gallant 壮丽
gallantry 勇敢
gallery 看台
gallon 加仑
gallonage 加仑量
gallop 疾驰
galore 许多
galvanize 电镀
gambia 冈比亚
gamble 赌博
gambler 赌徒
gambling 赌博
game 博弈
gamely 兴致勃勃
gameness 勇气
gamer 博弈者
gamesome 快乐
gamester 赌徒
gamily 勇敢地
gaminess 勇敢
gaming 博弈
gamma 加玛
gangster 匪徒
gangtok 甘托克
gansu 甘肃
ganzhou 赣州
gaol 监狱
gaol 监禁
gaolbird 囚犯
gaoler 监狱看守
gaoleress 监狱女看守
gaoxiong 高雄
gap 缝隙
gap 缺口
gap 间断
gape 打呵欠
gape 呵欠
gaper 打呵欠的人
garage 放入车库
garage 车库
garb 装扮
garb 服装
garbage 废物
garble 断章取义
garden 花园
gardener 园丁
gardening 园艺
gargle 漱口
gargle 漱口剂
garish 鲜艳夺目
garishly 鲜艳夺目地
garishness 鲜艳夺目
garland 花环
garland 做成花环
garlic 大蒜
garment 衣服
garner 储存
garnish 装饰
garniture 装饰品
garret 顶楼
garrison 卫戍部队
garrulity 喋喋不休
garter 吊袜带吊住
garter 吊袜带
gas 汽油
gas 气体
gasbag 气囊
gasconade 吹牛
gascony 加斯科尼
gaseity 气态
gaseous 气体
gasifiable 可气化
gasification 气化
gasify 煤气化
gasolene 汽油
gasoline 汽油
gasomater 煤气表
gasp 喘气
gassiness 充满气体状态
gassy 空洞
gastralgia 胃痛
gastrectomy 胃切除术
gastric 胃
gastritis 胃炎
gastrologer 烹调学家
gastrology 烹调学
gastronome 美食家
gastronomic 烹调法
gastronomy 烹调法
gastroptosis 胃下垂
gastroscope 胃镜
gastrotomy 胃切开术
gat 狭航道
gate 门
gatekeeper 看门人
gateway 入口
gather 收集
gathering 聚集
gathering 收集
gaucherie 笨拙
gaud 华丽而俗气的东西
gaudy 华而不实
gauge 量规
gauge 测量
gauger 收税官
gaunt 憔悴
gauntlet 交叉射击
gauntly 憔悴地
gauntness 憔悴
gauss 高斯
gaussian 高斯
gauze 纱布
gauzy 轻薄透明
gave 公报
gavel 木槌
gavel 强制
gavotte 加伏特舞
gavotte 跳加伏特舞
gawk 呆子
gawk 呆呆地看着
gawkiness 笨人
gawky 笨拙
gay 快乐
gay 欢迎的
gay 放荡的
gayly 快乐地
gayness 快乐
gaze 凝视
gazebo 信号台
gazer 凝视者
gazette 报纸
gazette 在公报上刊载
gdansk 格但斯克
gdtv 广东电视
gear 换档
gear 适应
gear 齿轮
gecko 壁虎
gejiu 个旧
gel 胶化
gel 胶化体
gel 成冻胶
gelatin 明胶
gelatinate 成为明胶
gelatiniform 胶状
gelatinize 成胶状
gelatinoid 状胶
gelatinoid 状胶物质
gelatinous 含凝胶
gelation 冻结
geld 阉割
gelder 阉割者
gelid 极冷
gem 珠宝
gem 宝石
gem 美玉
gem 珍贵之物
gemealogize 追溯
gemealogy 血统
gemel 成对
geminate 成双
gemination 重复
geminative 成双
gemini 双子座
gemma 胞芽
gemmate 有芽
gemmate 发芽
gemmation 发芽
gemmative 发芽
gemmiferous 产宝石
gemmiparous 发芽生殖
gemmy 镶宝石
gendarme 宪兵
gender 产生
gene 基因
general 一般
general 总论
general 将军
generalcy 将军职权
generalisimo 大元帅
generalist 多面手
generality 一般性
generalized 广义
generally 一般地
generalship 将军职位
generate 产生
generation 产生
generational 世代
generative 生成
generator 发电机
generic 一般
generically 一般地
generosity 大方
generous 慷慨
genesis 起源
genetic 发展
genetical 发展
geneticist 遗传学家
genetics 遗传学
geneva 日内瓦
gengrative 生殖
genial 亲切
geniality 亲切
genic 基因
geniculate 膝状弯曲
genie 妖怪
genital 生殖器
genital 生殖
genitive 所有格
genius 天才
genoa 热那亚
genocidal 灭绝种族
genocide 大屠杀
genotype 遗传型
genralissimo 大元帅
genteel 上流社会
genteelly 上流社会地
gentilitial 国家
gentility 名门
gentle 文雅
gentleman 先生
gentlewoman 贵妇人
gently 和缓地
gentry 贵族
genuflect 屈服
genuflecter 曲膝者
genuflexion 屈从
genuine 真正
genuinely 真正
genus 类
geocentric 以地球为中心
geodesy 大地测量学
geodynamical 地球动力学
geodynamics 地球动力学
geognostic 地质构造学
geognosy 地质构造学
geographer 地理学者
geographic 地理学
geography 地理学
geoid 地球体
geologic 地质学
geological 地质学家
geologist 地质学家
geologize 作地质调查
geology 地质学
geomagnetic 地磁
geomechanics 地质力学
geometer 几何学家
geometric 几何学
geometrician 几何学家
geometry 几何学
geomorphic 地貌
geophone 地震检波器
geophysical 地球物理
geophysicist 地球物理学家
geophysics 地球物理学
geopolitical 地缘政治学
geopolitics 地缘政治学
geoponic 农业
geoponics 农业
geopotential 位势
georetown 乔治敦
george 乔治
georgetown 乔治敦
georgette 乔其纱
georgia 佐治亚
georgic 田园诗
georgic 农业
geoscience 地球科学
geospace 地球空间
geostatic 地压
geostrategic 地理战略学
geostrategy 地理战略学
geostrophic 地转
geosynclinal 地槽
geotectonic 大地构造
geothermal 地热
geotropic 向地性
gerfalcon 大鸟
geriatric 老年
geriatrician 老年病学家
germ 细菌
german 德国人
german 德国
german 德语
germane 关系密切
germanic 德国
germanic 日尔曼语言
germanism 德意志精神
germanist 德意志文学专家
germanite 锗石
germanium 锗
germany 德国
germen 幼芽
germicidal 杀菌
germicide 杀菌剂
germinal 幼芽
germinally 幼芽
germinant 发芽
germinate 发芽
germination 萌芽
germinative 发芽
gerontocracy 老人统治
gerontology 老年医学
gersdorffite 辉砷镍矿
gesso 石膏粉
gestapo 盖世太保
gestate 怀孕
gestation 妊娠
gesticulate 做手势
gesture 手势
get 得到
get 给
get 使
get 变得
getatable 可接近
gettable 可以获得
getter 获得者
gettysburg 葛底斯堡
gewgaw 华而不实
gewgaw 便宜货
gewgaw 华而不实的东西
geyser 间歇喷泉
gfr 德意志联邦共和国
gha 格林威治角
ghana 加纳
ghananian 加纳
ghananian 加纳人
gharry 马车
ghastliness 可怕
ghastly 可怕
ghaut 山路
ghazi 抗击异教徒的英雄
ghee 印度酥油
gherkin 西印度黄瓜
ghetto 集中居住区
ghost 幽灵
ghostly 可怕
ghostwrite 受雇而代为作文
ghosty 魔鬼
ghoul 盗尸者
ghoulish 残忍
ghyll 峡谷
giacis 缓冲地区
giade 林间空地
giant 巨大
giant 巨人
giantism 巨大
giantlike 巨人般
giaour 非伊斯兰教徒
gib 雄猫
gibber 急促而不清的话
gibber 急促不清的说话
gibberellin 赤霉素
gibbet 绞刑
gibbet 绞刑架
gibbon 长臂猿
gibbosity 突起
gibbous 突起
gibbsite 小铝矿
gibe 嘲弄
giber 嘲笑者
gibingly 嘲笑地
gibralter 直布罗陀
giddap 快跑
giddily 头晕地
giddiness 头晕
giddy 令人昏眩
gift 礼物
gifted 天才
giftie 才能
gig 乘轻便双轮马车
gig 旋转物
gigantesque 巨大
gigantic 巨大
gigantism 巨大
giggle 傻笑
giggle 哈哈地笑
giglet 轻浮的女孩
gigmanity 凡夫俗子
gigolo 舞男
gigot 羊腿
gilbert 吉伯
gild 镀金
gilded 镀金
gilder 镀金工人
gilding 镀金
gill 用刺网捕鱼
gill 锶
gills 腮
gillyflower 紫罗兰花
gimcrack 华而不实
gimcrack 华而不实的东西
gimcrackcry 华而不实的东西
gimcracky 华而不实
gimlet 手钻
gimlet 有钻孔能力
gimlet 用手钻钻
gimp 嵌心狭辫带
gimp 用辫带装饰
gin 陷阱
gin 轧
ginger 生姜
ginger 有姜味
gingerliness 小心谨慎
gingerly 小心翼翼地
gingery 姜味
gingham 方格花布
gingili 芝麻
gingival 齿龈
gingivtis 龈炎
gingko 银杏
ginglymus 屈戊关节
ginsenq 人参
gipsy 吉普赛人
giraffe 长颈鹿
girandole 一种旋转的焰火
girasol 青蛋白石
gird 束缚
girder 大梁
girdle 围绕
girdle 带
girl 女孩
girlie 少女
girlie 姑娘
girlie 半裸体女子画像
girlish 少女
girlishly 少女似地
girlishness 少女
girth 肚带
girth 围绕
gist 依据
gittern 中世纪的吉他式弦乐器
give 给出
give 假定
give 给
give 给定
giver 供应者
gizmo 小发明
gjinokaster 吉诺卡斯特
glabrous 光洁
glace 冰冻
glacial 冰
glaciate 冻结
glaciated 冰冻
glaciation 冰河作用
glacier 冰川
glaciology 冰川带
glad 感到高兴
gladden 高兴
gladiator 斗士
gladsome 令人高兴
glair 蛋白
glair 涂蛋白
glaireous 涂蛋白
glairy 涂蛋白
glaive 大刀
glamorize 迷人
glamorous 富有魔力
glamour 迷惑
glamour 魔力
glance 匆匆一看
glance 匆匆地看看
glancing 粗略
glancingly 随便地
gland 腺
glandered 患鼻疽病
glanderous 鼻疽病
glanders 鼻疽病
glandiferous 结坚果
glandiform 腺状
glandular 腺
glare 闪耀
glare 眩目的光
glasgow 格拉斯哥
glass 玻璃
glassboro 葛拉斯堡罗
glassily 没有神采地
glassine 玻璃纸
glassiness 明净
glassy 象玻璃
glauberite 钙芒硝
glaucoma 青光眼
glaucomatous 青光眼
glean 收集
gleanings 零星知识
gliddiness 眩晕
glide 滑行
glimmer 闪光
glimmer 闪烁
glimpse 瞥见
glint 闪烁
glissade 下滑
glisten 闪光
glitter 闪光
glittering 灿烂
glittering 闪光
gllium 镓
gloat 心满意足
global 全球
globe 球体
globular 球状
glomerular 小球性
gloom 繁荣
gloomy 阴郁
glorify 赞扬
glorious 光荣
glory 光荣
glossarial 词汇
glossary 术语表
glove 手套
glow 发光
glower 怒目而视
glucinium 铍
glucose 葡萄糖
glue 粘合
glum 阴郁
glut 充斥
go 去
go 走
go 变得
go 将
goal 目的
god 上帝
goddess 女神
goiter 甲状腺肿
gold 黄金
golden 黄金
golfing 高尔夫球
good 很好
good 好
goodbye 再见
goodluck 祝你好运
goods 货物
goose 鹅
gop 地面观察站
gori 哥里
gossip 闲谈
gotha 哥达
govern 控制
government 政府
governmental 政府
governor 州长
gown 长袍
grab 夺取
graceful 优雅
graceless 粗俗
gracious 和善
grade 分等级
grade 等级
gradient 坡度
gradual 渐进
gradually 逐渐
graduate 毕业
graduate 毕业生
graft 赎职
grain 粮食
grains 粒
gram 克
grammar 文法
grammatical 文法
gramme 克
grand 极重要
grandfather 祖父
grandmother 祖母
grandparent 祖父母
granite 花岗岩
grant 应允
granular 粒状
granulate 成为粒状
grape 葡萄
graph 图表
